"A01";"Q03";"Q04";"Q04A";"Q05";"Q06A";"Q06B";"Q08";"Q08C";"Q09A1";"Q09B1";"Q10A1";"Q10B1";"Q19A";"B08A";"B08B";"pm17B"
42132;"2";"1";"1";"2";"1";"1";"2";"2";"1";"2";"7";"8";"NC";"3";"3";5,3802886553182e-05
42157;"2";"1";"1";"2";"1";"3";"1";"2";"7";"2";"9";"8";"15";"2";"2";5,3802886553182e-05
42164;"2";"1";"1";"1";"2";"2";"1";"2";"1";"1";"4";"6";"15";"3";"3";5,3802886553182e-05
42166;"2";"1";"1";"1";"1";"1";"1";"2";"1";"1";"2";"6";"15";"3";"3";5,3802886553182e-05
43904;"2";"1";"1";"2";"2";"1";"1";"1";"1";"3";"6";"8";"17";"2";"1";5,3802886553182e-05
43981;"2";"1";"1";"2";"2";"2";"1";"1";"1";"1";"2";"4";"16";"2";"2";5,3802886553182e-05
44012;"2";"1";"1";"1";"2";"2";"1";"2";"5";"1";"8";"6";"15";"5";"4";5,3802886553182e-05
44038;"2";"1";"1";"1";"1";"1";"1";"4";"7";"1";"9";"4";"15";"1";"2";5,3802886553182e-05
44051;"2";"2";"7";"1";"2";"2";"5";"1";"7";"7";"2";"2";"16";"1";"1";5,3802886553182e-05
22834;"2";"1";"1";"1";"1";"2";"1";"2";"1";"1";"4";"4";"15";"2";"2";5,4098875937682e-05
41364;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"7";"7";"15";"4";"4";5,4098875937682e-05
35684;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"5";"5";"NC";"4";"4";5,44543052731916e-05
28921;"2";"1";"1";"1";"1";"1";"1";"1";"2";"1";"8";"5";"15";"2";"1";5,46689191389314e-05
4950;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"6";"6";"NC";"1";"1";5,46724648187823e-05
4963;"2";"1";"1";"2";"1";"1";"1";"1";"1";"1";"6";"6";"16";"2";"2";5,46724648187823e-05
4971;"2";"1";"1";"1";"1";"1";"1";"2";"7";"4";"9";"6";"15";"1";"1";5,46724648187823e-05
4984;"2";"1";"1";"2";"1";"1";"1";"2";"1";"1";"7";"6";"17";"1";"2";5,46724648187823e-05
4988;"2";"1";"1";"2";"2";"1";"1";"1";"1";"1";"7";"6";"17";"1";"2";5,46724648187823e-05
4990;"2";"1";"1";"1";"1";"2";"1";"1";"1";"1";"7";"3";"15";"1";"1";5,46724648187823e-05
5000;"2";"1";"1";"1";"1";"1";"1";"2";"7";"1";"9";"6";"NC";"5";"1";5,46724648187823e-05
5024;"2";"1";"1";"1";"1";"1";"1";"2";"1";"3";"4";"8";"NC";"3";"3";5,46724648187823e-05
5028;"2";"1";"1";"2";"1";"1";"1";"4";"7";"3";"9";"8";"NC";"1";"1";5,46724648187823e-05
5037;"2";"1";"1";"1";"1";"1";"1";"2";"1";"1";"4";"4";"15";"5";"1";5,46724648187823e-05
21605;"2";"1";"1";"2";"1";"1";"1";"1";"1";"1";"6";"6";"14";"4";"1";5,46724648187823e-05
21623;"2";"1";"1";"2";"1";"1";"1";"1";"1";"1";"7";"5";"16";"1";"1";5,46724648187823e-05
21650;"2";"1";"1";"1";"1";"1";"1";"1";"6";"1";"8";"6";"NC";"1";"1";5,46724648187823e-05
22824;"2";"1";"1";"2";"1";"2";"1";"1";"1";"1";"7";"3";"16";"2";"1";5,46724648187823e-05
22832;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"6";"6";"17";"2";"2";5,46724648187823e-05
22842;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"4";"4";"NC";"5";"5";5,46724648187823e-05
22844;"2";"1";"1";"1";"1";"1";"2";"1";"1";"1";"4";"6";"12";"5";"4";5,46724648187823e-05
22862;"2";"1";"1";"1";"1";"1";"1";"2";"7";"1";"9";"4";"16";"1";"1";5,46724648187823e-05
22869;"2";"1";"1";"1";"1";"1";"1";"2";"1";"1";"7";"7";"14";"2";"4";5,46724648187823e-05
22871;"2";"2";"4";"2";"1";"2";"1";"1";"1";"1";"7";"6";"16";"2";"2";5,46724648187823e-05
22881;"2";"1";"2";"2";"2";"1";"1";"1";"1";"1";"7";"6";"13";"2";"1";5,46724648187823e-05
22883;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"4";"6";"NC";"4";"4";5,46724648187823e-05
22889;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"5";"5";"14";"4";"1";5,46724648187823e-05
39056;"2";"1";"1";"2";"1";"1";"1";"1";"1";"3";"3";"8";"15";"5";"4";5,46724648187823e-05
39075;"2";"1";"1";"1";"1";"1";"2";"1";"1";"1";"2";"2";"12";"2";"2";5,46724648187823e-05
39971;"2";"1";"1";"1";"1";"1";"1";"1";"1";"4";"4";"8";"16";"2";"2";5,46724648187823e-05
39975;"2";"1";"1";"1";"2";"3";"1";"1";"1";"1";"5";"6";"15";"1";"2";5,46724648187823e-05
39978;"2";"1";"1";"1";"1";"1";"1";"2";"1";"1";"7";"6";"13";"4";"3";5,46724648187823e-05
39981;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"7";"4";"18+";"2";"2";5,46724648187823e-05
39997;"2";"1";"1";"2";"1";"1";"1";"1";"1";"1";"7";"6";"16";"2";"2";5,46724648187823e-05
40004;"2";"1";"1";"1";"1";"1";"1";"2";"1";"1";"4";"5";"14";"3";"3";5,46724648187823e-05
40006;"2";"1";"1";"1";"1";"1";"1";"1";"1";"2";"7";"8";"15";"5";"3";5,46724648187823e-05
41300;"2";"1";"1";"1";"2";"1";"1";"1";"1";"1";"4";"5";"10-";"5";"5";5,46724648187823e-05
41306;"2";"1";"1";"1";"1";"1";"1";"2";"1";"1";"7";"5";"12";"5";"5";5,46724648187823e-05
41326;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"4";"5";"14";"1";"2";5,46724648187823e-05
41333;"2";"1";"1";"1";"1";"1";"1";"1";"1";"3";"7";"8";"15";"1";"1";5,46724648187823e-05
41334;"2";"1";"1";"1";"1";"1";"1";"2";"1";"1";"7";"4";"16";"5";"3";5,46724648187823e-05
41354;"2";"1";"1";"2";"1";"2";"1";"1";"1";"3";"7";"8";"17";"1";"1";5,46724648187823e-05
41355;"2";"1";"1";"2";"1";"1";"1";"1";"3";"3";"8";"8";"NC";"1";"1";5,46724648187823e-05
